,zip,part_one_freq,part_one_perc,part_two_freq,part_two_perc,homicide,homicide_perc
0,02108,1904.0,3.8054123196226564,2257,2.886373809067076,0.0,0.0
1,02109,1157.0,2.312427549266499,929,1.1880555022699661,0.0,0.0
2,02110,458.0,0.915377543270576,577,0.7378988426369972,0.0,0.0
3,02111,1093.0,2.1845145301195186,1589,2.0320992390817825,1.0,0.7194244604316548
4,02113,338.0,0.6755406323699884,402,0.5140993669671974,0.0,0.0
5,02114,1091.0,2.1805172482711757,1500,1.918281220026856,1.0,0.7194244604316548
6,02115,2038.0,4.073230203461646,1641,2.0985996547093806,1.0,0.7194244604316548
7,02116,4673.0,9.339649038653715,3457,4.42099878508856,1.0,0.7194244604316548
8,02118,3020.0,6.035895590998122,5564,7.115544472152951,4.0,2.877697841726619
9,02119,3416.0,6.8273573969700605,7216,9.228211522475862,12.0,8.633093525179856
10,02120,1125.0,2.2484710396930088,1870,2.391457254300147,6.0,4.316546762589928
11,02121,2626.0,5.2484310668745255,4917,6.288125839248034,19.0,13.66906474820144
12,02122,2332.0,4.660830635168086,3958,5.06170471257753,9.0,6.474820143884892
13,02124,3534.0,7.063197026022305,8199,10.485325148666796,22.0,15.827338129496402
14,02125,3120.0,6.235759683415278,5114,6.540060106144894,19.0,13.66906474820144
15,02126,1954.0,3.905344365831235,3849,4.922309610588912,21.0,15.107913669064748
16,02127,2187.0,4.371027701163209,3561,4.553999616343756,3.0,2.158273381294964
17,02128,1827.0,3.651516968461446,3590,4.591086386597609,6.0,4.316546762589928
18,02129,924.0,1.8467442139345245,1422,1.8185305965854592,1.0,0.7194244604316548
19,02130,2313.0,4.622856457608826,3324,4.250911183579513,7.0,5.0359712230215825
20,02131,1118.0,2.2344805532238077,2273,2.906835475414029,0.0,0.0
21,02132,730.0,1.4590078746452413,1567,2.003964447854722,1.0,0.7194244604316548
22,02133,5.0,0.009993204620857817,5,0.006394270733422853,0.0,0.0
23,02134,1484.0,2.9659831314705998,1650,2.1101093420295416,0.0,0.0
24,02135,1621.0,3.239796938082104,2649,3.3876846345674276,1.0,0.7194244604316548
25,02136,1562.0,3.121877123555982,3058,3.910735980561417,4.0,2.877697841726619
26,02138,0.0,0.0,1,0.0012788541466845706,0.0,0.0
27,02139,11.0,0.0219850501658872,20,0.025577082933691413,0.0,0.0
28,02145,2.0,0.003997281848343127,2,0.002557708293369141,0.0,0.0
29,02155,8.0,0.015989127393372507,1,0.0012788541466845706,0.0,0.0
30,02163,4.0,0.007994563696686253,5,0.006394270733422853,0.0,0.0
31,02186,2.0,0.003997281848343127,1,0.0012788541466845706,0.0,0.0
32,02199,279.0,0.5576208178438662,146,0.1867127054159473,0.0,0.0
33,02201,2.0,0.003997281848343127,3,0.0038365624400537117,0.0,0.0
34,02203,6.0,0.01199184554502938,5,0.006394270733422853,0.0,0.0
35,02205,1.0,0.0019986409241715634,4,0.005115416586738282,0.0,0.0
36,02210,238.0,0.47567653995283204,317,0.40539676449900885,0.0,0.0
37,02215,1766.0,3.529599872086981,1441,1.8428288253724663,0.0,0.0
38,02445,3.0,0.00599592277251469,4,0.005115416586738282,0.0,0.0
39,02446,16.0,0.031978254786745014,47,0.06010614489417482,0.0,0.0
40,02467,46.0,0.0919374825118919,60,0.07673124880107424,0.0,0.0
